N° de la FEB,fr,ar,bg,chi,cs,da,de,el,en,es,es_XL,et,fa_IR,fi,he,hi,hr,hu,id,it,ja,ko,lt,lv,nl_NL,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sq,sr,sv,tr,uk,vi
90130_1,"Préconditionnement batterie
activé","تهيئة البطارية
تم التنشيط","Предварителна подготовка на батерията
активирано","蓄电池预处理
已激活","Příprava akumulátoru
aktivní","Forberedelse af batteri
aktiveret","Batterie-Vorglühen
aktiviert","Προκλιματισμός μπαταρίας
ενεργοπ.","Battery preconditioning
activated","Preacondicionamiento de batería
activado","Preacondicionamiento de batería
activado","Aku eelkond.
aktiveeritud","پیش‌تهویه باتری
فعال شد","Akun esilämmitys
aktivoitu","מצב מקדים של סוללה
מופעלת","बैटरी प्रीकंडीशनिंग
सक्रिय किया गया","Pretkondicioniranje baterije
aktivirano","Az akkumulátor előkondicionálása
aktiválva","Prakondisi baterai
diaktifkan","Precondizionamento batteria
attivata","バッテリプレコンディショニング
有効化されています","배터리 프리컨디셔닝
활성화됨","Akumuliatoriaus pareng. kondic.
suaktyvinta","Akumulatora sagatavošana
aktivizēts","Voorverwarmen batterij
geactiveerd","Temperering av batteri
aktivert","Wstępne kondycjonowanie
akumulatora włączone","Pré-condicionamento da bateria
ativado","Pré-climatização da bateria
ativada","Precondiţionare baterie
activată","Предпусковой подогрев АКБ:
включено","Príprava akumulátora
aktívna","Predkondicioniranje baterije
aktivirano","Parapërgatitja e baterisë
u aktivizua","Kondicioniranje akumulatora
aktivirano","Batteriets förkonditionering
aktiverad","Akü ön koşullandırması
etkin","Передпусковий підігрів АКБ
ввімкнено","Chuẩn bị sẵn cho pin
đã kích hoạt"
90130_2,"Préconditionnement batterie
terminé","تهيئة البطارية
كامل","Предварителна подготовка
на батерията активирана","蓄电池预处理
完成","Příprava akumulátoru
dokončena","Forberedelse af batteri
udført","Batterie-Vorglühen
abgeschl.","Προκλιματισμός μπαταρίας
ολοκληρώθηκε","Battery preconditioning
complete","Preacondicionamiento de batería
completo","Preacondicionamiento de batería
completo","Aku eelkond.
lõpetatud","پیش‌تهویه باتری
تکمیل شد","Akun esilämmitys
valmis","מצב מקדים של סוללה
סיום","बैटरी प्रीकंडीशनिंग
पूर्ण","Pretkondicioniranje baterije
završeno","Az akkumulátor előkondicionálása
kész","Prakondisi baterai
selesai","Precondizionamento batteria
completo","バッテリプレコンディショニング
完了","배터리 프리컨디셔닝
완료","Akumuliatoriaus pareng. kondic.
baigtas","Akumulatora sagatavošana
pabeigta","Batterij verwarmen
voltooid","Temperering av batteri
ferdig","Wstępne kondycjonowanie
akumulatora ukończone","Pré-condicionamento da bateria
completar","Pré-climatização da bateria
concluída","Precondiţionare baterie
finalizată","Предпусковой подогрев АКБ:
выполнено","Príprava akumulátora
dokončená","Predkondicioniranje baterije
končano","Parapërgatitja e baterisë
u kompletua","Kondicioniranje akumulatora
dovršeno","Batteriets förkonditionering
komplett","Akü ön koşullandırması
tamamlandı","Передпусковий підігрів АКБ
завершено","Chuẩn bị sẵn cho pin
hoàn tất"
90130_3,"Préconditionnement batterie
désactivé","تهيئة البطارية
تم إلغاء التنشيط","Бат. подг.
деактивирано","蓄电池预处理
已停用","Příprava akumulátoru
deaktivována","Forberedelse af batteri
deaktiveret","Batterie-Vorglühen
deaktiviert","Προκλιματισμός μπαταρίας
απενεργοπ.","Battery preconditioning
deactivated","Preacondicionamiento de batería
desactivado","Preacondicionamiento de batería
desactivado","Aku eelkonditsioneerimine
desaktiveeritud","پیش‌تهویه باتری
غیرفعال شد","Akun esilämmitys
poistettu käytöstä","מצב מקדים של סוללה
מושבתת","बैटरी प्रीकंडीशनिंग
निष्क्रिय किया गया","Pretkondicioniranje baterije
deaktivirano","Az akkumulátor előkondicionálása
inaktiválva","Prakondisi baterai
dinonaktifkan","Precondizionamento batteria
disattivata","バッテリプレコンディショニング
無効化されています","배터리 프리컨디셔닝
비활성화됨","Akumuliatoriaus pareng. kondic.
išjungtas","Akumulatora sagatavošana
deaktivizēts","Accuvoorconditionering
uitgeschakeld","Temperering av batteri
deaktivert","Wstępne kondycjonowanie
akumulatora wyłączone","Pré-condicionamento da bateria
desativado","Pré-climatização da bateria
desativada","Precondiţionare baterie
dezactivată","Предпусковой подогрев АКБ:
выключено","Príprava akumulátora
deaktivovaná","Predkondicioniranje baterije
deaktivirano","Parapërgatitja e baterisë
çaktivizuar","Kondicioniranje akumulatora
deaktivirano","Batteriets förkonditionering
inaktiverad","Akü ön koşullandırması
devre dışı","Передпусковий підігрів АКБ
вимкнено","Đ.kiện c.bị sẵn pin
đã tắt"
90130_4,"Sortie des conditions
de temperature batterie","ظروف درجة حرارة
البطارية","Температура на
батерията условие","蓄电池温度
状况","Stav teploty
akumulátoru","Forberedelse af batteri-
temperatur","Batterietemperatur
Zustand","Κατάσταση θερμοκρασίας
μπαταρίας","Battery temperature
condition","Estado de temperatura
de la batería","Condición de temperatura
de la batería","Aku temperatuuri
tingimus","دمای باتری
وضعیت","Akun lämpötilan
olosuhteet","מצב טמפרטורת
סוללה","बैटरी तापमान
स्थिति","Stanje temperature
baterije","Az akkumulátor hőmérsékleti
viszonyai","Kondisi
suhu baterai","Stato temperatura
batteria","バッテリの温度
状態","배터리 온도
조건","Akumuliatoriaus temperatūros
sąlyga","Akumulatora temperatūras
stāvoklis",Batterij temperatuur voorwaarden,"Batteriets temperatur-
tilstand","Warunki temperaturowe
akumulatora","Temperatura da bateria
condição","Condição da temperatura
da bateria","Starea de temperatură
a bateriei","Температура
аккумуляторной батареи","Stav teploty
akumulátora","Stanje
temperature","Temperatura e baterisë
gjendja","Stanje temperature
akumulatora","Batteriets temperatur-
villkor","Akü sıcaklığı
koşul","Температура
акумуляторної батареї","Điều kiện
nhiệt độ pin"
90130_5,"Préconditionnement indisponible
Niveau batterie faible","التهيئة غير متوفرة
مستوى بطارية منخفض","Предварителната подготовка не е налична
Ниско ниво на батерията","预处理不可用
蓄电池电量低","Příprava není k dispozici
Nízká úroveň nabití akumulátoru","Forberedelse ikke tilgængelig
Lavt batteriniveau","Vorglühen nicht verfügbar
Batteriestand niedrig","Προκλιματισμός μη διαθέσιμος
Χαμηλή στάθμη μπαταρίας","Preconditioning unavailable
Low battery level","Preacon no disponible
Nivel de batería bajo","Preacond. no disponible
Bajo nivel de batería","Eelkonditsioneer. pole saadaval
Madal aku tase","پیش‌تهویه در دسترس نیست
شارژ باتری پایین","Esilämmitys ei ole käytettävissä
Alhainen akun varaustaso","מצב מקדמי לא זמין
רמת טעינת סוללה נמוכה","प्रीकंडीशनिंग उपलब्ध नहीं है
कम बैटरी स्तर","Pretkondicioniranje nedostupno
Niska razina baterije","Előkondicionálás nem elérhető
Akku töltése alacsony","Prakondisi tidak tersedia
Tingkat baterai lemah","Precond non dispon
Batteria scarica","積込み中は
バッテリプレコンディショニングを使用できません","프리컨디셔닝 사용 불가능
낮은 배터리","Parengiamasis kondic. negalimas
Žemas akumuliatoriaus lygis","Sagatavošana nav pieejama
Zems akumulatora uzlādes līmenis","Voorverwarmen niet beschikbaar
lage batterijlading","Temperering utilgjengelig
Lavt batterinivå","Wstępne kondycjonow. niedostępne
Niski poziom naładowania akum.","Pré-condicionamento indisponível
Bateria em nível baixo","Pré-climatização indisponível
Nível baixo da bateria","Precondiţionare indisponibilă
Nivel scăzut baterie","Предпусковой подогрев недоступен
Низкий уровень заряда АКБ","Príprava nie je k dispozícii
Nízka úroveň nabitia akumulátora","Predkondicioniranje ni na voljo
Nizka raven napolnjenosti baterije","Parapërgatitja nuk ofrohet
Niveli i ulët i baterisë","Kondicioniranje nije dostupno
Nizak nivo napunjenosti akumulatora","Förkonditionering ej tillgänglig
Låg batterinivå","Ön koşullandırma mevcut değil
Düşük akü seviyesi","Підігрів АКБ недоступний
Низький рівень заряду АКБ","Không thể chuẩn bị sẵn pin
Mức pin thấp"
90130_6,"Préconditionnement indisponible
Charge en cours","التهيئة غير متوفرة
تحميل قيد التقدم","Предв. подг. не е налична
Изв. се зареждане.","预处理不可用
正在加载","Příprava není k dispozici
Probíhá nabíjení","Forberedelse ikke tilgængelig
Læsning i gang","Vorglühen nicht verfügbar
Lädt","Προκλιματισμός μη διαθέσιμος
Φόρτωση σε εξέλιξη","Preconditioning unavailable
Load in progress","Preacond. no disponible
Carga en curso","Preacond. no disponible
Carga en curso","Eelkonditsioneer. pole saadaval
Laadimine käimas","پیش‌تهویه در دسترس نیست
بارگیری در حال انجام است","Esilämmitys ei ole käytettävissä
Lataus käynnissä","מצב מקדמי לא זמין
מתבצעת הטענה","प्रीकंडीशनिंग उपलब्ध नहीं है
लोड हो रहा है","Pretkondicioniranje nedostupno
Učitavanje u tijeku","Előkondicionálás nem elérhető
Betöltés folyamatban","Prakondisi tidak tersedia
Pemuatan dalam proses","Precond non dispon
Caricamento in corso","積込み中は
バッテリプレコンディショニングを使用できません","프리컨디셔닝 사용 불가능
적재 진행 중","Parengiamasis kondic. negalimas
Vyksta apkrova","Sagatavošana nav pieejama
Notiek ielāde","Voorverwarmen niet beschikb.
laden bezig","Temperering utilgjengelig
Lading pågår","Wstępne kondycjonowanie
niedostępne. Ładowanie w toku","Pré-condicionamento indisponível
Carga em andamento","Pré-climatização indisponível
Carga em curso","Precondiţii indisponibile
Încărcare în curs","Предпусковой подогрев недоступен
Загрузка","Príprava nie je k dispozícii
Prebieha načítanie","Predkondicion. ni na voljo
V teku je nalaganje","Parapërgatitja nuk ofrohet
Duke u karikuar","Kondicioniranje nije dostupno
Opterećenje je u toku","Förkonditionering ej tillgänglig
Last pågår","Ön koşullandırma mevcut değil
Yükleme devam ediyor","Попередній підігрів недоступний
Завантаження","Không thể chuẩn bị sẵn pin
Đang tải"
90130_7,"Préconditionnement batterie
à contrôler","فحص تهيئة
البطارية","Провери бат.
предв. подг.","检查蓄电池
预处理","Zkontr. přípravu
akumulátoru","Tjek batteriets
forberedelse","Batteriekontrolle
Vorglühen","Ελέγξτε Μπαταρία
προκλιματισμό","Check Battery
preconditioning","Control preacond.
batería","Controlar preacond.
batería","Kontrollige akut
eelkonditsioneerimine","چک کردن باتری
پیش‌تهویه","Tarkista akun
esilämmitys","בדיקת מצב מקדמי
של הסוללה","बैटरी की जाँच करें
प्रीकंडीशनिंग","Prov pretknd.
baterije","Ellenőriztesse
az akku-előkond.","Periksa
Prakondisi baterai","Check bat
Precondiz","バッテリプレコンディショニングを
確認してください","배터리 프리컨디셔닝
점검하십시오","Patikr. akum.
parengiamąjį kondicionavimą","Pārbaudiet akumulatora
sagatavošanu","Controleer batterij
voorverwarmen","Sjekk temp.
til batteriet","Sprawdź wstępne
kondycjonowanie akumulatora","Verif bateria
Pré-condicionamento","Verificar pré-climatização
bateria","Verificați precondițiile
bateriei","Проверьте предпусковой
подогрев АКБ","Skontrol. prípr.
akumulátora","Prev. predkond.
baterije","Kontrolloni baterinë
parapërgatitja","Prov. kondic.
akumulatora","kontr. batt.
förkonditionering","Aküyü ön koş.
kontrol ediniz","Перевірте передпусковий
підігрів АКБ","Kiểm tra
chuẩn bị sẵn pin"
90215_1,"Préparation
pour remplissage","تجهيز
لملء التنك","Подготовка за
Зарежд. Резерв.","加注油箱
注意事项","Příprava na
tankování","Forberedelse til
tank fyldning","Vorbereitung
Tankfüllung","Προετοιμασία
για γέμισμα","Preparation for
Filling Tank","Preparación para
repostaje","Preparación para
llenado tanque","Ettevalmistus
tankimiseks","آماده‌سازی
برای سوختگیری","Säiliön täyttö
Valmistelee","הכנה
למילוי המיכל","टैंक भरने
की तैयारी","Spremnik u fazi
pripreme","Előkészítés
feltöltéshez","Persiapan
untuk pengisian","Preparazione
per riempimento","燃料残量
注意","연료 보충
준비중","Pasiruošimas
bako pildymui","Sagatavošanās
uzpildei","Voorbereiden
vullen tank","Klargjøring for
tankfylling","Przygotowanie
do napełnienia","Preparando
para abastecer","Preparação para
abast. depósito","Pregătire pentru
umplere rezervor","Подготовка
к заправке","Príprava na
tankovanie","Priprava za
poln.rezervoarja","Përgatitja për
rimbushje","Priprema za
punjenje tanka","Förbereder
tankning","Yakıt dolum için
depo hazırlıkta","Підготовка до
заправки","Chuẩn bị
cần đổ thêm"
90215_2,"Réservoir prêt
pour remplissage","جاهز
لملء التنك","Готовност за
Зарежд. Резерв.","准备
加注油箱","Připraveno na
tankování","Klar til
tank fyldning","Bereit für
Tankfüllung","Δοχείο έτοιμο
για γέμισμα","Ready for
Filling Tank","Depósito listo
para repostaje","Listo para
llenar tanque","Valmis
tankimiseks","مخزن آماده برای
سوختگیری","Säiliön täyttö
Valmis täyttöön","מוכן
למילוי המיכל","टैंक भरने
के लिए तैयार","Spremnik spreman
za punjenje","Tank feltöltésre
kész","Reservoir siap
untuk pengisian","Serbatoio pronto
per riempimento","給油
してください","연료 보충
가능","Pasiruošęs
pildyti baką","Gatavs
uzpildei","Tank gereed
voor vullen","Klar for
tankfylling","Zbiornik gotowy
do napełnienia","Tanque pronto
para abastecer","Depósito pronto
para abastecer","Rezervor gata pt
alimentare","Готов к
заправке","Pripravené na
tankovanie","Pripravljeno za
poln.rezervoarja","Gati për
rimbushje","Tank je spreman
za punjenje","Klart för
tankning","Yakıt dolum için
depo hazır","Готовність до
заправки","Bình chứa s.sàng
cần đổ thêm"
90215_3,"Arrêter moteur
pour remplissage","أوقف المحرك
لملء التنك","Спри двигат. за
Зарежд. Резерв.","停车以
加注油箱","Před tankováním
vypnout motor","Stop motor for
tank fyldning","Motor anhalten
für Tankfüllung","Σβήστε κινητήρα
για γέμισμα","Stop Engine for
Tank Filling","Parar motor
para repostaje","Parar motor
para llenado","Peata mootor
tankimiseks","توقف موتور برای
سوختگیری","Säiliön täyttö
Sammuta moottori","דומם מנוע
למילוי המיכל","टैंक भरने के लिए
इंजन बंद करें","Ugasi motor za
vrijeme punjenja","Tankoláshoz mo-
tort leállítani","Matikan mesin
untuk pengisian","Arrestare motore
per riempimento","給油中
エンジン停止","연료보충을위해
엔진을끄십시오","Išj. variklį
bako pildymui","Apturiet motoru
uzpildei","Stop motor
om te tanken","Stopp motor for
tankfylling","Zatrzymaj silnik
przy napełnianiu","Desligar Motor
para abastecer","Parar motor
para abastecer","Opriți motorul
pt alimentare","Стоп двигатель
для заправки","Pred tankovaním
vypnúť motor","Ustavi motor za
poln.rezervoarja","Fik motorin për
rimbushje","Zaustavite motor
punjenje tanka","Stäng av motorn
och tanka","Yakıt dolum için
motoru durdurun","Зупиніть двигун
для заправки","Dừng động cơ
cần đổ thêm"
